Publication Date,Title,Acronym,Venue,Pre-training Objective,Automation Object/Training Strategy,Prompt Length (soft prompts),Prompt Initialization Strategy (soft prompts),PLMs,Datasets,Tasks,Code
2020-09-14,AutoPrompt: Eliciting Knowledge from Language Models with Automatically Generated Prompts,AutoPrompt,EMNLP ,Cloze,TS,--,--,"BERT-base, RoBERTa-large","SST-2, SICK-E, Original LAMA dataset, T-REx","Sentiment Analysis, NLI, Fact Retrieval",https://ucinlp.github.io/autoprompt/
2021-04-19,BERTese: Learning to Speak to BERT,BERTese,EACL,Cloze,TD,--,--,BERT,LAMA T-Rex,NLI,https://github.com/adihaviv/bertese
2021-08-01,Prefix-Tuning: Optimizing Continuous Promts for Generation,Prefix Tuning,ACL/IJCNLP,Prefix,PEFT,"Table-to-Text: 0, 10, 20, 30, 40; Summarization: 0, 100, 200, 300","Random, relevant words","GPT-2-medium, BART-large","E2E, WebNLG, DART, XSUM","Table-to-Text, Summarization",https://github.com/XiangLi1999/PrefixTuning
2021-11-07,Discrete and Soft Prompting for Multilingual Models,--,EMNLP,Cloze,TD,--,--,XLM-RoBERTa-base,"MNLI, XNLI",Multilingual NLI,https://github.com/mprompting/xlmrprompt
2021-11-07,Discrete and Soft Prompting for Multilingual Models,--,EMNLP,Cloze,Non PEFT,4,Random,XLM-RoBERTa-base,"MNLI, XNLI",Multilingual NLI,https://github.com/mprompting/xlmrprompt
2021-11-07,The Power of Scale for Parameter-Efficient Prompt Tuning,PT,EMNLP,Prefix,PEFT,"1, 5, 20, 100, 150","Random, embeddings from vocabulary, target tokens ",T5,SuperGLUE,"Classification, NLI, QA",--
2021-11-07,Discrete and Soft Prompting for Multilingual Models,--,EMNLP,Cloze,Non PEFT,4,Random,XLM-RoBERTa-base,"MNLI, XNLI",Multilingual NLI,https://github.com/mprompting/xlmrprompt
2022-04-01,PADA: Example-based Prompt Learning for on-the-fly Adaptation to Unseen Domains,PADA,ACL,Prefix,CD,--,--,T5,"PHEME,  Williams et al. Extension of SNLI, Aspect Prediction dataset","Rumour Detection, MNLI, Sequence Tagging",https://github.com/eyalbd2/PADA
2022-04-25,Ontology-enhanced Prompt-tuning for Few-shot Learning,OntoPrompt,ACM,Cloze,Non PEFT,4 per ontology,Random,BERT-large,"SemEval-2010 Task 8, TACRED-Revisit, Wiki80, DialogRE, ACE 2005, UMLS, WN18RR, FB15K-237","Relation Extraction, Event Extraction, Knowledge Graph Completion",--
2022-04-29,KnowPrompt: Knowledge-aware Prompt-tuning with Synergistic Optimization for Relation Extraction,KnowPrompt,ACM ,Cloze,Non PEFT,--,Virtual Type Words,RoBERTa,"SemEval 2010 Task 8, DialogRE, TACRED, TACRED-Revisit, Re-TACRED",Relation Extraction,https://github.com/zjunlp/KnowPrompthttps://github.com/zjunlp/KnowPrompt
2022-05-22,Continual Prompt Tuning for Dialog State Tracking,Continual PT,ACL,Cloze,PEFT,"1, 5, 20, 100, 150",--,T5,Schema-Guided Dialog,Dialog State Tracking,https://github.com/thu-coai/CPT4DST
2022-05-22,P-Tuning: Prompt Tuning Can Be Comparable to Fine-tuning Across Scales and Tasks,P-Tuning v2,ACL,Prefix,PEFT,"20, 25, 40, 50, 60, 75, 80, 100, 125, 150",--,"BERT-large, RoBERTa-large, DeBERTa-xlarge,  GLM-xlarge/xxlarge",SuperGLUE ,"Classification, NLI, QA, NER, Semantic Role Labeling",https://github.com/THUDM/P-tuning-v2
2022-05-27,Dual Context-Guided Continuous Prompt Tuning for Few-Shot Learning,DCCP,ACL,Cloze,PEFT,"2, 5",--,RoBERTa-large,"SST-2, MR, CR, SUBJ, TREC, MNLI, SNLI, QNLI, MRPC, QQP","Sentiment Analysis, Subjective Analysis, NLI, Paraphrase Detection",--
2022-05-27,The Power of Prompt Tuning for Low-Resource Semantic Parsing,--,ACL,Prefix,PEFT,150,Random,"T5, BART","Overnight,  TOPv2 ",Semantic Parsing,--
