Publication Date,Title,Acronym,Venue,PLMs,Tasks,Research Direction,Addressed Challenges,Limitations,Work Contribution 
2023-03-06,A Chinese Few-Shot Text Classification Method Utilizing Improved Prompt Learning and Unlabeled Data,CIPLUD,Applied Sciences (Switzerland),Ernie 1.0,Classification,"They propose a CIPLUD model for Chinese few-shot text classification that utilizes improved prompt learning and unlabeled data. The model consists of two modules, the Multiple Masks Optimization-based Prompt Learning (MMOPL) module and the One-Class Support Vector Machine-based Unlabeled Data Leveraging (OCSVM-UDL) module. The MMOPL module designs universal prompt templates with multiple masks for different tasks and optimizes the predicted label of the model using joint probability and length constraints. The OCSVM-UDL module assigns pseudo-labels to the unlabeled data through a one-class support vector machine model and filters noise data from the unlabeled data. The new training data are created by blending the pseudo-labeled data with the few-shot-labeled data, and the process is repeated until the performance of the text classification model stabilizes. The performance of the CIPLUD model has been effective.","Insufficiently labeled samples and low-generalization performance have become significant natural language processing problems, drawing significant concern for few-shot text classification (FSTC).  Prompt learning have improved the situation, however, prompt learning methods typically require the pre-trained language model and tokens of the vocabulary list for model training, while different language models have different token coding structures, making it impractical to build effective Chinese prompt learning methods from previous approaches related to English. In addition, a majority of current prompt learning methods do not make use of existing unlabeled data, thus often leading to unsatisfactory performance in real-world applications. ",--,Continuous prompting in framework with multiple masks
2023-04-30,A Dual Prompt Learning Framework for Few-Shot Dialogue State Tracking,--,WWW,SOLOIST,Dialogue State Tracking,"For the lack of labeled data in practical DST tasks, they focus on improving DST module to generate dialogue states in circumstances with limited annotations and knowledge about slot ontology. They design a dual prompt learning framework DPL, which considers the learning of slot generation and value generation as dual tasks and containstwo main components(value prompt and slot prompt). Their framework can efectively probe DST-related knowledge from pretrained language models and utilize it for DST task. Experiments show that their model outperforms existing state-of-the-art methods under diferent levels of resources. ","Collecting dialogue state labels including slots and values can be costly, requiring experts to annotate all (slot, value) information for each turn in dialogues. It is also difcult to defne all possible slots and values in advance, especially with the wide application of dialogue systems in more and more new-rising applications.",--,Discrete promting in framework
2023-07-01,A Medical Question Classification Approach Based on Prompt Tuning and Contrastive Learning,--,SEKE ,ERNIE 3.0,Classification,"They introduced a novel supervised contrastive learning method, pulling similar samples and pushing negative ones from different classs.","COVID-19 has profoundly impacted people's lives, and people are more concerned about medical and health issues, so it is essential to design an efficient method for classifying medical questions. Fine-tuning are the de-facto approach but are poorly robust and there is a gap between the pre-training phase and the downstream task, resulting in PLMs that cannot use the rich latent knowledge in downstream tasks","The prompt template uses manual templates, which have more parameters to optimize and are prone to overfitting",Discrete prompt with CL in framework
2023-07-27,A Prompt Learning Based Intent Recognition Method on a Chinese Implicit Intent Dataset CIID,CIID,Neural Processing Letters,BERT-base-chinese,Intent Recognition,"A prompt-based approach is proposed to identify the implicit intents in the CIID dataset and compared with several benchmark models. The experimental results show that the proposed model achieves the best performance based
on our experiments. This shows that constructing a suitable prompt for learning can enhance
the inferring ability to users’ true intents.","Most of the existing intent recognition research is limited to simple, direct, and explicit intent recognitions. However, the natural human–computer interactions are flexible and diverse, and the expressions are often the euphemistic implicit
intentions. Therefore, the implicit intent recognition brings new research challenges in this
field",--,Hard prompting in framework
2024-06-21,A Rumors Detection Method Using T5-Based Prompt Learning,PLRD,IJDWM,T5,Rumor Information Detection,"Leveraging prompt templates generated by the T5 model enhanced the model’s ability to extract information from text, effectively reducing the gap between pre-training tasks and downstream target tasks.","Accurately identifying rumor information is crucial for efficient information assessment. However, adjusting PLMs typically requires modifications for specific tasks, creating a gap between pretraining and task execution.",--,Hard prompting in framework
2023-07-19,A Unified Generative Retriever for Knowledge-Intensive Language Tasks via Prompt Learning,UGR,SIGIR,BART,Information Retrieval,"They proposed UGR, a novel Unified Generative Retriever, which can robustly serve different retrieval tasks for knowledge-intensive language tasks. To unify retrieval tasks, they formulated the retrieval problem as a conditional generation problem and introduced an n-gram-based identifier for relevant contexts at different levels of granularity. To learn different retrieval tasks with a single model, they mapped the descriptions of tasks to a few prompt tokens for keeping task specifications. Empirical results on the KILT benchmark demonstrated the superiority of the proposed method.","Task-specific retriever usually has poor generalization ability to new domains and tasks, and it may be costly to deploy a variety of specialised retrievers in practice.","Due to space limitations, we only show the results on selected datasets for each task (see table 7)",Discrete/Continuous/Hybrid prompt in framework
2024-05-17,Adapting LLMs for Efficient Context Processing through Soft Prompt Compression,SPC-LLM,ACM CMNM,Claude2,"Summarization, QA, Sentiment Analysis, Classification",The fusion of soft prompts with advanced summarization techniques presents a promising avenue for future exploration aimed at enhancing the efficiency and adaptability of LLMs.,"Effectively handling extensive contexts, crucial for myriad applications, poses a formidable obstacle owing to the intrinsic constraints of the models’ context window sizes and the computational burdens entailed by their operations.",--,Soft Prompting in framework
2023-03-28,Adaptive Prompt Learning-Based Few-Shot Sentiment Analysis,AP,Neural Processing Letters,RoBERTa-wwm-ext,Sentiment Analysis,"The proposed method can solve the problem of the prompt-dependency thanks to their hybrid approach and adaptive generation. Furthermore the adaptive layer captures the semantic information of the input text, so as to generate. 
a better prompt.","Labeled data are insufficient in many sentiment analysis tasks, and obtaining these data is time-consuming and laborious.","When the quality of the hand-crafted prompt is poor, the accuracy of the HPL method will also be very low.",Hybrid prompting in framework
2023-07-19,Adversarial Meta Prompt Tuning for Open Compound Domain Adaptive Intent Detection,AMPT,SIGIR,BERT-base,Intent Detection,"AMPT framework for intent detection in an OCDA setting, which brought the advantage of improved generalization to unseen domains. By taking advantage of the collaborative effect of meta learning, prompt tuning, and adversarial training, we learned an intent classifier that could effectively generalize to unseen open domains.","This paper takes the lead to study open compound domain adaptation (OCDA) for intent detection, which brings the advantage of improved generalization to unseen domains.",--,Continuous prompting in framework
2022-07-01,AESPrompt: Self-supervised Constraints for Automated Essay Scoring with Prompt Tuning,AESPrompt,SEKE ,BERT-base-uncased,Automated Essay Scoring,Improvement of AES using lightweight prompt tuning and self-supervised constraints,Reduce high computation costs. Limited resources available,"High variance in performance, sensitivity to text truncation in low-resource settings","Introduces AESPrompt with self-supervised constraints for AES, demonstrating competitive performance in full-data settings and significant improvement in one-shot settings"
